old_readme_url,new_url_after_launch,works_today_on_mintlify,what_happened,new_page_title
https://docs.northbeam.io/docs/5-install-the-northbeam-pixel,https://docs.northbeam.io/docs/add-pixel,https://northbeam.mintlify.io/docs/add-pixel,moved,Pixel and Event Tracking
https://docs.northbeam.io/docs/5-install-the-northbeam-pixel#shopify-instructions,https://docs.northbeam.io/docs/add-pixel#shopify-instructions,https://northbeam.mintlify.io/docs/add-pixel#shopify-instructions,moved,Pixel and Event Tracking
https://docs.northbeam.io/docs/8-append-our-utms,https://docs.northbeam.io/docs/integrations-and-utms,https://northbeam.mintlify.io/docs/integrations-and-utms,moved,Integrations and UTMs
https://docs.northbeam.io/docs/8c-add-order-tags-in-shopify,https://docs.northbeam.io/docs/8c-add-order-tags-in-shopify,https://northbeam.mintlify.io/docs/8c-add-order-tags-in-shopify,same page,Add order tags in Shopify
https://docs.northbeam.io/docs/8d-configure-northbeam-order-exclusions-optional,https://docs.northbeam.io/docs/8d-configure-northbeam-order-exclusions-optional,https://northbeam.mintlify.io/docs/8d-configure-northbeam-order-exclusions-optional,same page,Configure Northbeam order exclusions (Shopify)
https://docs.northbeam.io/docs/accounting-modes,https://docs.northbeam.io/docs/accounting-modes,https://northbeam.mintlify.io/docs/accounting-modes,same page,Accounting Modes
https://docs.northbeam.io/docs/ad-accounts,https://docs.northbeam.io/docs/ad-accounts,https://northbeam.mintlify.io/docs/ad-accounts,same page,Adding / Removing Ad Accounts
https://docs.northbeam.io/docs/add-domain,https://docs.northbeam.io/docs/link-dns,https://northbeam.mintlify.io/docs/link-dns,moved,Link DNS
https://docs.northbeam.io/docs/add-orders,https://docs.northbeam.io/docs/add-orders,https://northbeam.mintlify.io/docs/add-orders,same page,Add Orders
https://docs.northbeam.io/docs/add-pixel,https://docs.northbeam.io/docs/add-pixel,https://northbeam.mintlify.io/docs/add-pixel,same page,Pixel and Event Tracking
https://docs.northbeam.io/docs/add-spend,https://docs.northbeam.io/docs/add-spend,https://northbeam.mintlify.io/docs/add-spend,same page,Add Spend
https://docs.northbeam.io/docs/adding-a-store-or-dashboard,https://docs.northbeam.io/docs/adding-a-store-or-dashboard,https://northbeam.mintlify.io/docs/adding-a-store-or-dashboard,same page,Setting Up Multiple Stores or Regions
https://docs.northbeam.io/docs/adding-or-removing-users-copy,https://docs.northbeam.io/docs/adding-or-removing-users-copy,https://northbeam.mintlify.io/docs/adding-or-removing-users-copy,same page,Adding / Removing Users
https://docs.northbeam.io/docs/adding-or-removing-users-copy-1,https://docs.northbeam.io/docs/adding-or-removing-users-copy-1,https://northbeam.mintlify.io/docs/adding-or-removing-users-copy-1,same page,Changing Currency
https://docs.northbeam.io/docs/all-other-platforms-overview,https://docs.northbeam.io/docs/all-other-platforms-overview,https://northbeam.mintlify.io/docs/all-other-platforms-overview,same page,All Other Platforms Overview
https://docs.northbeam.io/docs/apex-faqs,https://docs.northbeam.io/docs/apex-faqs,https://northbeam.mintlify.io/docs/apex-faqs,same page,Apex FAQs
https://docs.northbeam.io/docs/applovin,https://docs.northbeam.io/docs/channels/applovin/overview,https://northbeam.mintlify.io/docs/channels/applovin/overview,guide split into steps,Tracking for AppLovin
https://docs.northbeam.io/docs/applovin#step-1-report-api-key,https://docs.northbeam.io/docs/channels/applovin/connect-the-account#step-1-report-api-key,https://northbeam.mintlify.io/docs/channels/applovin/connect-the-account#step-1-report-api-key,section moved to its own page,AppLovin: Connect the account
https://docs.northbeam.io/docs/applovin#step-2-find-your-account-id,https://docs.northbeam.io/docs/channels/applovin/connect-the-account#step-2-find-your-account-id,https://northbeam.mintlify.io/docs/channels/applovin/connect-the-account#step-2-find-your-account-id,section moved to its own page,AppLovin: Connect the account
https://docs.northbeam.io/docs/applovin#step-4-add-northbeam-utms,https://docs.northbeam.io/docs/channels/applovin/insert-the-utms#step-4-add-northbeam-utms,https://northbeam.mintlify.io/docs/channels/applovin/insert-the-utms#step-4-add-northbeam-utms,section moved to its own page,AppLovin: Insert the UTMs
https://docs.northbeam.io/docs/attribution-models,https://docs.northbeam.io/docs/attribution-models,https://northbeam.mintlify.io/docs/attribution-models,same page,Attribution Models
https://docs.northbeam.io/docs/attribution-page,https://docs.northbeam.io/docs/attribution-page,https://northbeam.mintlify.io/docs/attribution-page,same page,📊 Attribution Home Page
https://docs.northbeam.io/docs/attribution-windows,https://docs.northbeam.io/docs/attribution-windows,https://northbeam.mintlify.io/docs/attribution-windows,same page,Attribution Windows
https://docs.northbeam.io/docs/authentication,https://docs.northbeam.io/docs/authentication,https://northbeam.mintlify.io/docs/authentication,same page,Authentication
https://docs.northbeam.io/docs/best-practices-by-teams-and-departments,https://docs.northbeam.io/docs/best-practices-by-teams-and-departments,https://northbeam.mintlify.io/docs/best-practices-by-teams-and-departments,same page,🧐 Best Practices by Teams and Departments
https://docs.northbeam.io/docs/business-information,https://docs.northbeam.io/docs/business-information,https://northbeam.mintlify.io/docs/business-information,same page,Business Information
https://docs.northbeam.io/docs/case-scenario-cash-vs-accrual,https://docs.northbeam.io/docs/case-scenario-cash-vs-accrual,https://northbeam.mintlify.io/docs/case-scenario-cash-vs-accrual,same page,Case scenario: Cash snapshot vs Accrual performance
https://docs.northbeam.io/docs/case-scenario-clicks-views-vs-clicks-only,https://docs.northbeam.io/docs/case-scenario-clicks-views-vs-clicks-only,https://northbeam.mintlify.io/docs/case-scenario-clicks-views-vs-clicks-only,same page,Case scenario: Clicks + Modeled Views vs Clicks-Only
https://docs.northbeam.io/docs/channel-tracking-overview,https://docs.northbeam.io/docs/all-other-platforms-overview,https://northbeam.mintlify.io/docs/all-other-platforms-overview,moved,All Other Platforms Overview
https://docs.northbeam.io/docs/checking-api-connections,https://docs.northbeam.io/docs/checking-api-connections,https://northbeam.mintlify.io/docs/checking-api-connections,same page,Checking Ad Platform Connections
https://docs.northbeam.io/docs/checking-utm-tracking,https://docs.northbeam.io/docs/checking-utm-tracking,https://northbeam.mintlify.io/docs/checking-utm-tracking,same page,Checking UTM Tracking
https://docs.northbeam.io/docs/clicks-deterministic-views,https://docs.northbeam.io/docs/clicks-deterministic-views,https://northbeam.mintlify.io/docs/clicks-deterministic-views,same page,🧬 Clicks + Deterministic Views (C+DV)
https://docs.northbeam.io/docs/clicks-deterministic-views#/what-is-clicks--deterministic-views,https://docs.northbeam.io/docs/clicks-deterministic-views#/what-is-clicks--deterministic-views,https://northbeam.mintlify.io/docs/clicks-deterministic-views#/what-is-clicks--deterministic-views,same page,🧬 Clicks + Deterministic Views (C+DV)
https://docs.northbeam.io/docs/clicks-views-enhanced,https://docs.northbeam.io/docs/clicks-deterministic-views,https://northbeam.mintlify.io/docs/clicks-deterministic-views,moved,🧬 Clicks + Deterministic Views (C+DV)
https://docs.northbeam.io/docs/confirm-setup-requirements,https://docs.northbeam.io/docs/confirm-setup-requirements,https://northbeam.mintlify.io/docs/confirm-setup-requirements,same page,Confirm Setup Requirements
https://docs.northbeam.io/docs/connect-northbeam-to-chatgpt,https://docs.northbeam.io/docs/connect-northbeam-to-chatgpt,https://northbeam.mintlify.io/docs/connect-northbeam-to-chatgpt,same page,Connect Northbeam to ChatGPT
https://docs.northbeam.io/docs/connect-northbeam-to-claude,https://docs.northbeam.io/docs/connect-northbeam-to-claude,https://northbeam.mintlify.io/docs/connect-northbeam-to-claude,same page,Connect Northbeam to Claude
https://docs.northbeam.io/docs/correct-system-setups,https://docs.northbeam.io/docs/confirm-setup-requirements,https://northbeam.mintlify.io/docs/confirm-setup-requirements,moved,Confirm Setup Requirements
https://docs.northbeam.io/docs/create-a-dashboard,https://docs.northbeam.io/docs/what-to-expect-during-implementation,https://northbeam.mintlify.io/docs/what-to-expect-during-implementation,moved,What To Expect During Implementation
https://docs.northbeam.io/docs/creative-analytics,https://docs.northbeam.io/docs/creative-analytics,https://northbeam.mintlify.io/docs/creative-analytics,same page,🎨 Creative Analytics
https://docs.northbeam.io/docs/creative-analytics-walkthrough,https://docs.northbeam.io/docs/creative-analytics,https://northbeam.mintlify.io/docs/creative-analytics,moved,🎨 Creative Analytics
https://docs.northbeam.io/docs/credit-allocation-examples,https://docs.northbeam.io/docs/credit-allocation-examples,https://northbeam.mintlify.io/docs/credit-allocation-examples,same page,How Credit Is Assigned in Northbeam
https://docs.northbeam.io/docs/currency,https://docs.northbeam.io/docs/currency,https://northbeam.mintlify.io/docs/currency,same page,Currency
https://docs.northbeam.io/docs/dashboard-and-export-data-dont-match,https://docs.northbeam.io/docs/dashboard-and-export-data-dont-match,https://northbeam.mintlify.io/docs/dashboard-and-export-data-dont-match,same page,Dashboard and Export Data Don't Match
